matchId,winner_BOTTOM,winner_JUNGLE,winner_MIDDLE,winner_TOP,winner_UTILITY,loser_BOTTOM,loser_JUNGLE,loser_MIDDLE,loser_TOP,loser_UTILITY
EUW1_6452163746,Kaisa,Graves,Tristana,Renekton,Veigar,MissFortune,Lillia,Lux,Kled,Shaco
EUW1_6638193488,Jinx,Ivern,Ahri,Quinn,Brand,Aphelios,FiddleSticks,Azir,Garen,Morgana
EUW1_6648469461,Jinx,Rammus,Veigar,Illaoi,Braum,KogMaw,Shaco,Zed,Renekton,Seraphine
EUW1_6648507818,Lucian,Briar,Yasuo,Nasus,Nami,Draven,Nocturne,Zed,Sett,Braum
EUW1_6648528130,Jinx,Elise,Jayce,Sett,Brand,Caitlyn,Nocturne,Ekko,Illaoi,
EUW1_6684419553,Tristana,Kayn,Chogath,Renekton,Malphite,Vayne,LeeSin,Velkoz,Sett,Renata
EUW1_6689396950,Zeri,LeeSin,Lux,Kayle,Lulu,Varus,RekSai,Kassadin,Volibear,Nami
EUW1_6689417850,Sivir,Graves,Yasuo,Yone,Xerath,Kaisa,Briar,Zed,Gwen,Morgana
EUW1_6697750713,Tristana,LeeSin,Veigar,Fiora,Teemo,Xayah,Briar,Vladimir,RekSai,Rakan
EUW1_6697809579,MissFortune,Nocturne,Syndra,Warwick,Darius,Jinx,Ekko,Qiyana,Swain,Gangplank
EUW1_6764220986,Tristana,Rumble,Sylas,Sion,Leona,Jhin,Gragas,Akali,Teemo,TahmKench
EUW1_6774298794,Samira,MonkeyKing,Veigar,Chogath,Swain,Caitlyn,Ekko,Talon,Ornn,Lux
EUW1_6779299856,Jhin,Jax,Veigar,Malphite,Nami,Caitlyn,Belveth,Fizz,Nasus,Janna
EUW1_6783545134,MissFortune,JarvanIV,Veigar,Trundle,TahmKench,Tristana,Ekko,Galio,Mordekaiser,Blitzcrank
EUW1_6829054954,Vayne,Warwick,Qiyana,Orianna,TahmKench,Jinx,LeeSin,Hwei,Akali,Blitzcrank
EUW1_6870563770,Seraphine,,Seraphine,Seraphine,,Gangplank,,Gangplank,Gangplank,Gangplank
EUW1_6892247237,Jhin,Kindred,Akshan,Garen,Brand,Kaisa,XinZhao,Xerath,Smolder,Thresh
EUW1_6895006695,Ezreal,Zac,Yasuo,Gragas,Morgana,KogMaw,LeeSin,Syndra,Yorick,Nunu
EUW1_6895029478,Nilah,Evelynn,Vladimir,Nasus,Thresh,Yasuo,Ekko,Kayle,Jax,Lux
EUW1_6895045470,Kaisa,Sylas,Taliyah,Yone,Lulu,Ziggs,Warwick,Qiyana,Irelia,Nami
EUW1_6952947954,Jhin,Shyvana,Yasuo,Tryndamere,Nautilus,Vayne,LeeSin,Lux,Rumble,Pyke
EUW1_6960400756,Caitlyn,Vayne,Malzahar,Garen,Braum,Tristana,MasterYi,Akshan,Riven,Lux
EUW1_6960455671,Caitlyn,Briar,Yasuo,Aatrox,Zyra,Jinx,Shaco,Lux,TwistedFate,Thresh
EUW1_6960485792,Caitlyn,Shyvana,Ekko,Vayne,Braum,Ashe,Kindred,Malzahar,Sion,Nautilus
EUW1_6970854842,Caitlyn,Taliyah,Lissandra,Riven,Pantheon,Veigar,Skarner,Yone,Alistar,Thresh
EUW1_6970868258,Ezreal,Nunu,Fizz,Chogath,Blitzcrank,Tristana,Rengar,Cassiopeia,Darius,Evelynn
EUW1_6970884859,Rengar,Teemo,Akali,Darius,Ivern,,Warwick,Yasuo,Gwen,Lux
EUW1_6976269633,Ashe,Jax,Hwei,Urgot,Xerath,Lucian,Shyvana,Yasuo,Ornn,Morgana
EUW1_6977344513,Corki,Amumu,Hwei,Riven,Leona,Jhin,Sejuani,Lux,Zac,Zilean
EUW1_6977384844,Corki,Volibear,Veigar,Pantheon,Alistar,Vayne,Udyr,Tristana,Renekton,Maokai
EUW1_6977427444,Smolder,Naafiri,Lux,Renekton,Leona,Caitlyn,Shyvana,Ekko,Gwen,Morgana
EUW1_6977512973,Sivir,FiddleSticks,Yasuo,Urgot,Ezreal,Samira,Mordekaiser,Ahri,Kayle,Morgana
EUW1_6977619974,Brand,Diana,Vi,Darius,Zyra,Samira,Shaco,Anivia,Urgot,Ornn
EUW1_6977622357,Jhin,Jax,Veigar,Rumble,DrMundo,Smolder,Diana,Brand,Nasus,Camille
EUW1_6983779125,Caitlyn,Ekko,Corki,Darius,Leona,Kaisa,LeeSin,Leblanc,Gangplank,Nautilus
EUW1_6990276854,Corki,Diana,Sylas,Urgot,Yuumi,MissFortune,Shaco,Akali,Aatrox,Pyke
EUW1_6990889339,Kaisa,Brand,Yone,Anivia,Nautilus,KogMaw,Shaco,Fizz,Gnar,Galio
EUW1_6990932145,Kaisa,Lillia,Fizz,Irelia,Leona,Sivir,Kayn,Yasuo,DrMundo,Xerath
EUW1_6991198395,Senna,Sejuani,Lux,Heimerdinger,Leona,Varus,Warwick,Yone,Jax,Morgana
EUW1_7002067325,Jinx,Shaco,Katarina,Aatrox,,Samira,Rengar,Veigar,Akali,Ornn
EUW1_7002111869,Kaisa,Shyvana,Cassiopeia,Ornn,Milio,Samira,Amumu,Vex,Yone,Velkoz
EUW1_7002261586,Jinx,Skarner,Anivia,Yasuo,Braum,Samira,Trundle,Zoe,Jax,Velkoz
EUW1_7002286442,Veigar,Kindred,Corki,Teemo,Poppy,Xayah,LeeSin,Katarina,Yone,Velkoz
EUW1_7008306518,Jhin,Viego,Kayle,Nasus,Shaco,Lucian,MasterYi,Yorick,Malphite,Blitzcrank
EUW1_7008474526,Ezreal,Belveth,Syndra,Rengar,Lux,Zeri,Brand,Malzahar,Garen,Leona
EUW1_7024928833,Kaisa,Kayn,Lucian,Shen,Teemo,Draven,Nunu,Vex,Darius,Yuumi
EUW1_7025107531,MissFortune,Rengar,Vladimir,Yorick,Anivia,Smolder,Nocturne,Zed,Teemo,Thresh
EUW1_7025271389,MissFortune,Lillia,Aurora,Shen,TahmKench,Tristana,Shyvana,Ahri,Sett,Senna
EUW1_7026328137,Yasuo,Shaco,Malzahar,Caitlyn,Thresh,Jhin,,Aurora,Yorick,Nautilus
EUW1_7026378708,Jhin,Belveth,Aurora,Yorick,Nautilus,MissFortune,Warwick,Hwei,Chogath,DrMundo
EUW1_7039262293,Jinx,Shyvana,Velkoz,Ornn,Brand,Jhin,LeeSin,Fizz,MonkeyKing,Lux
EUW1_7039406925,Jinx,Taliyah,Aurora,Ornn,Skarner,Ashe,Volibear,Yasuo,Trundle,Pyke
EUW1_7039424056,Ashe,Graves,Zed,Shyvana,Leona,Zeri,Khazix,Ryze,Yorick,Lux
EUW1_7053945174,MissFortune,Nocturne,Diana,Vladimir,Leona,Sivir,Viego,Cassiopeia,Yone,Velkoz
EUW1_7054035588,Nilah,Garen,Ahri,Karma,Milio,Samira,Ivern,Zoe,Urgot,Nautilus
EUW1_7054314692,Xayah,Vi,Yone,Illaoi,Yuumi,Caitlyn,Rammus,Diana,Camille,Morgana
EUW1_7075514799,Jinx,Viego,Ahri,Urgot,Leona,Ashe,FiddleSticks,Zoe,Camille,Seraphine
EUW1_7076602425,Jinx,Shyvana,Morgana,Renekton,Thresh,Smolder,Khazix,Diana,Mordekaiser,Senna
EUW1_7077209687,Ashe,Khazix,Leblanc,Yone,Poppy,Lucian,Viego,Orianna,Aatrox,Bard
EUW1_7077622575,MissFortune,Nidalee,Katarina,Aatrox,Alistar,Jinx,Nunu,Zed,Chogath,Nautilus
EUW1_7077825989,Vayne,Talon,Syndra,Riven,Ashe,Veigar,MasterYi,Katarina,Aatrox,Chogath
EUW1_7078674426,Caitlyn,Gragas,Lux,Sett,Nautilus,Draven,Kindred,Galio,Nidalee,Soraka
EUW1_7078699463,Caitlyn,Vi,Aurora,Gangplank,Nautilus,Ashe,Khazix,Vladimir,Darius,Blitzcrank
EUW1_7082217597,Caitlyn,Lillia,Diana,Renekton,Nami,Lucian,JarvanIV,Yone,Mordekaiser,Senna
EUW1_7082298831,Xayah,XinZhao,Vex,Renekton,FiddleSticks,Smolder,Warwick,Syndra,Teemo,Braum
EUW1_7082421575,Caitlyn,Viego,Diana,Teemo,Braum,Kaisa,Khazix,Aurora,Tryndamere,Brand
EUW1_7082477715,Caitlyn,LeeSin,Zoe,Kayle,Lux,Jhin,Shyvana,Galio,Darius,TahmKench
EUW1_7085371206,Caitlyn,FiddleSticks,Xerath,Sion,Braum,Jinx,Lillia,Anivia,Garen,Sona
EUW1_7086493988,Ziggs,MasterYi,Orianna,Gangplank,Seraphine,Kaisa,FiddleSticks,Yone,Aatrox,Hwei
EUW1_7086522330,Kaisa,Zed,Leblanc,Aatrox,Morgana,,Evelynn,Veigar,DrMundo,Bard
EUW1_7086539136,Jinx,Nidalee,Smolder,Aatrox,Senna,Smolder,Gwen,Aurora,Darius,Lux
EUW1_7086579751,Vayne,Nunu,Veigar,Gnar,Taric,Jhin,Nidalee,Sylas,Aatrox,Senna
EUW1_7087546142,Yasuo,Volibear,Corki,Aurora,Morgana,MissFortune,Warwick,Katarina,Aatrox,Bard
